name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
27e avenue / Rosemont,45.563709940264175,-73.57139468193054,True,8,1,1,19
Drolet / St-Zotique,45.53488214147823,-73.60941231250763,True,2,1,1,19
Fullum / Holt,45.54391953154915,-73.58424894533528,True,1,1,1,27
3e avenue / Holt,45.54800352985515,-73.58138993382454,True,4,1,1,19
de St-Vallier / St-Zotique,45.536434338630336,-73.60783427975548,True,4,1,1,19
Cartier / Dandurand,45.53923559055867,-73.58594566583633,True,14,1,1,23
Graham / Wicksteed,45.51693654712809,-73.64048302173615,True,11,1,1,19
Mozart / Waverly,45.5315236502754,-73.61701235175133,True,5,1,1,15
Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,True,15,1,1,19
de Lanaudière / Bélanger,45.54365085053057,-73.60565051436424,True,3,1,1,23
Waverly / St-Zotique,45.53050525974957,-73.61470833420753,True,3,1,1,19
15e avenue / Masson,45.55389801568004,-73.5713866353035,True,14,1,1,23
Fabre / St-Zotique,45.543653916207866,-73.60126135876271,True,11,1,1,19
16e avenue / St-Joseph,45.55293611277267,-73.56577143073082,True,14,1,1,23
Boyer / Bélanger,45.54006,-73.60897,True,4,1,1,23
St-Urbain / Beaubien,45.52954744851231,-73.61071854829788,True,0,1,1,15
Marie-Anne / Papineau,45.53176697148175,-73.5724139213562,True,3,1,1,23
Jeanne-Mance / Beaubien,45.527650097960205,-73.61229971051216,True,2,1,1,15
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.508204615051355,-73.56881439685822,True,27,1,1,27
Marquette / Rachel,45.52983801723605,-73.5703244805336,True,1,1,1,15
Wolfe / Robin,45.51958082831579,-73.5601159930229,True,9,1,1,23
Bourbonnière / du Mont-Royal,45.55358456339093,-73.56052905321121,True,6,1,1,23
Graham / Kindersley,45.514080696641386,-73.64694982767105,True,4,1,1,23
McCulloch / de la Côte Ste-Catherine,45.51577505385328,-73.60060930252075,True,0,1,1,15
26e avenue / Beaubien,45.56485589064712,-73.5774926841259,True,6,1,1,15
de Chambly / Rachel,45.54991069359101,-73.55826258659361,True,17,1,1,23
35e avenue / Beaubien,45.570081,-73.573047,True,0,1,1,27
de Bordeaux / Sherbrooke,45.529914321737415,-73.56302618980408,True,5,1,1,19
d'Orléans / Hochelaga,45.55061693669672,-73.54901432991028,True,3,1,1,19
Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,True,0,1,1,23
41e avenue / Rosemont,45.57178977666956,-73.56431499123573,True,5,1,1,19
Parc de Beauséjour (Gouin / Henri-d'Arles),45.526765,-73.730423,True,14,1,1,19
12e avenue / St-Zotique,45.5568667309625,-73.589306473732,True,2,1,1,23
19e avenue / St-Zotique,45.56168275734862,-73.58564794063568,True,14,1,1,23
